"org_id","org_acc","org_source","ref_id","ref_acc","ref_source"
"30050","CHEBI:30050","chebi","TMEDA_DROAN","B3LVB0","uniprot"
"30050","CHEBI:30050","chebi","PATL5_ARATH","Q9M0R2","uniprot"
"30050","CHEBI:30050","chebi","RALB_TODPA","P49193","uniprot"
"30050","CHEBI:30050","chebi","CLIP3_XENLA","Q5U243","uniprot"
"30050","CHEBI:30050","chebi","YE98_SCHPO","O13770","uniprot"
"30050","CHEBI:30050","chebi","P24B3_ARATH","Q9LIL4","uniprot"
"30050","CHEBI:30050","chebi","CLIP3_HUMAN","Q96DZ5","uniprot"
"30050","CHEBI:30050","chebi","TMEDA_MESAU","O35587","uniprot"
"30050","CHEBI:30050","chebi","TMED2_RAT","Q63524","uniprot"
"30050","CHEBI:30050","chebi","TMED3_MOUSE","Q78IS1","uniprot"
"30050","CHEBI:30050","chebi","TMED5_HUMAN","Q9Y3A6","uniprot"
"30050","CHEBI:30050","chebi","TMED6_BOVIN","Q0VCA9","uniprot"
"30050","CHEBI:30050","chebi","TMED6_HUMAN","Q8WW62","uniprot"
"30050","CHEBI:30050","chebi","FYCO1_MOUSE","Q8VDC1","uniprot"
"30050","CHEBI:30050","chebi","EMP24_YEAST","P32803","uniprot"
"30050","CHEBI:30050","chebi","YB79_SCHPO","O14324","uniprot"
"30050","CHEBI:30050","chebi","TMEDA_EREGS","Q759T8","uniprot"
"30050","CHEBI:30050","chebi","TMEDA_GIBZE","Q4HY20","uniprot"
"30050","CHEBI:30050","chebi","TMEDA_KLULA","Q6CWW7","uniprot"
"30050","CHEBI:30050","chebi","FYCO1_HUMAN","Q9BQS8","uniprot"
"30050","CHEBI:30050","chebi","ERP1_YEAST","Q05359","uniprot"
"30050","CHEBI:30050","chebi","TMEDA_YARLI","Q6C503","uniprot"
"30050","CHEBI:30050","chebi","TMED2_CAEEL","O17528","uniprot"
"30050","CHEBI:30050","chebi","TMED2_CRIGR","P49020","uniprot"
"30050","CHEBI:30050","chebi","TMED2_HUMAN","Q15363","uniprot"
"30050","CHEBI:30050","chebi","TMED4_MOUSE","Q8R1V4","uniprot"
"30050","CHEBI:30050","chebi","TMED5_BOVIN","Q2KJ84","uniprot"
"30050","CHEBI:30050","chebi","P24B2_ARATH","Q9S7M9","uniprot"
"30050","CHEBI:30050","chebi","P24D5_ARATH","Q8RWM6","uniprot"
"30050","CHEBI:30050","chebi","P24D7_ARATH","Q8GYG1","uniprot"
"30050","CHEBI:30050","chebi","PATL6_ARATH","Q9SCU1","uniprot"
"30050","CHEBI:30050","chebi","TMED8_PONAB","Q5R9S0","uniprot"
"30050","CHEBI:30050","chebi","TMED9_MOUSE","Q99KF1","uniprot"
"30050","CHEBI:30050","chebi","TMED9_RAT","Q5I0E7","uniprot"
"30050","CHEBI:30050","chebi","TMEDA_ASPFU","Q4WQL0","uniprot"
"30050","CHEBI:30050","chebi","TMEDA_CANGA","Q6FRZ3","uniprot"
"30050","CHEBI:30050","chebi","TMEDA_CRYD1","P0CN72","uniprot"
"30050","CHEBI:30050","chebi","TMEDA_CRYD3","P0CN73","uniprot"
"30050","CHEBI:30050","chebi","TMEDA_DEBHA","Q6BTC2","uniprot"
"30050","CHEBI:30050","chebi","TMEDA_DICDI","Q769F9","uniprot"
"30050","CHEBI:30050","chebi","TMEDA_DROER","B3P6T8","uniprot"
"30050","CHEBI:30050","chebi","TMEDA_DROGR","B4JYU5","uniprot"
"30050","CHEBI:30050","chebi","TMED1_RAT","Q5BK85","uniprot"
"30050","CHEBI:30050","chebi","TMED2_MOUSE","Q9R0Q3","uniprot"
"30050","CHEBI:30050","chebi","TMED3_HUMAN","Q9Y3Q3","uniprot"
"30050","CHEBI:30050","chebi","TMED3_RAT","Q6AY25","uniprot"
"30050","CHEBI:30050","chebi","TMED4_HUMAN","Q7Z7H5","uniprot"
"30050","CHEBI:30050","chebi","TMED5_MOUSE","Q9CXE7","uniprot"
"30050","CHEBI:30050","chebi","TMED5_PONAB","Q5R809","uniprot"
"30050","CHEBI:30050","chebi","TMED5_RAT","Q6AXN3","uniprot"
"30050","CHEBI:30050","chebi","TMED6_MOUSE","Q9CQG0","uniprot"
"30050","CHEBI:30050","chebi","TCAM2_HUMAN","Q86XR7","uniprot"
"30050","CHEBI:30050","chebi","TMED8_MOUSE","Q3UHI4","uniprot"
"30050","CHEBI:30050","chebi","P24DB_ARATH","Q9LJV9","uniprot"
"30050","CHEBI:30050","chebi","TMEDA_DROSI","A0AQ71","uniprot"
"30050","CHEBI:30050","chebi","TMEDA_DROWI","B4NIY1","uniprot"
"30050","CHEBI:30050","chebi","TMEDA_DROYA","B4PUZ3","uniprot"
"30050","CHEBI:30050","chebi","TMEDA_HUMAN","P49755","uniprot"
"30050","CHEBI:30050","chebi","TMEDA_SCHPO","O13946","uniprot"
"30050","CHEBI:30050","chebi","S14L5_XENTR","Q0V9N0","uniprot"
"30050","CHEBI:30050","chebi","EMP24_SCHPO","Q9P7I9","uniprot"
"30050","CHEBI:30050","chebi","TMEDA_TAKRU","Q90515","uniprot"
"30050","CHEBI:30050","chebi","TMEDE_DROER","B3NZM5","uniprot"
"30050","CHEBI:30050","chebi","TMEDE_DROME","Q9I7K5","uniprot"
"30050","CHEBI:30050","chebi","TMEDE_DROSE","B4HJV5","uniprot"
"30050","CHEBI:30050","chebi","TMEDE_DROSI","B4QWH9","uniprot"
"30050","CHEBI:30050","chebi","TMEDE_DROVI","B4LYB8","uniprot"
"30050","CHEBI:30050","chebi","TMEDE_DROWI","B4NKL0","uniprot"
"30050","CHEBI:30050","chebi","TMED7_HUMAN","Q9Y3B3","uniprot"
"30050","CHEBI:30050","chebi","TMED7_RAT","D3ZTX0","uniprot"
"30050","CHEBI:30050","chebi","OSH3_SCHPO","O13944","uniprot"
"30050","CHEBI:30050","chebi","CA4A_CONOB","P69746","uniprot"
"30050","CHEBI:30050","chebi","CADH2_ORYSJ","Q6ZHS4","uniprot"
"30050","CHEBI:30050","chebi","PATL3_ARATH","Q56Z59","uniprot"
"30050","CHEBI:30050","chebi","YQF6_CAEEL","Q09270","uniprot"
"30050","CHEBI:30050","chebi","P24D3_ARATH","Q6IDL4","uniprot"
"30050","CHEBI:30050","chebi","P24D6_ARATH","F4J4Y0","uniprot"
"30050","CHEBI:30050","chebi","P24D8_ARATH","O81045","uniprot"
"30050","CHEBI:30050","chebi","TMED1_XENTR","Q28BQ6","uniprot"
"30050","CHEBI:30050","chebi","ERP2_YEAST","P39704","uniprot"
"30050","CHEBI:30050","chebi","ERP3_YEAST","Q12403","uniprot"
"30050","CHEBI:30050","chebi","ERP4_YEAST","Q12450","uniprot"
"30050","CHEBI:30050","chebi","ERP5_YEAST","P38819","uniprot"
"30050","CHEBI:30050","chebi","ERP6_YEAST","P53198","uniprot"
"30050","CHEBI:30050","chebi","PATL1_ARATH","Q56WK6","uniprot"
"30050","CHEBI:30050","chebi","TMED8_HUMAN","Q6PL24","uniprot"
"30050","CHEBI:30050","chebi","TMED9_HUMAN","Q9BVK6","uniprot"
"30050","CHEBI:30050","chebi","TMEDA_BOVIN","Q5E971","uniprot"
"30050","CHEBI:30050","chebi","TMEDA_CANAL","Q5A302","uniprot"
"30050","CHEBI:30050","chebi","P24D4_ARATH","Q9FVU0","uniprot"
"30050","CHEBI:30050","chebi","P24D9_ARATH","Q9LQY3","uniprot"
"30050","CHEBI:30050","chebi","P24DA_ARATH","Q8VY92","uniprot"
"30050","CHEBI:30050","chebi","S14L1_HUMAN","Q92503","uniprot"
"30050","CHEBI:30050","chebi","PATL4_ARATH","Q94C59","uniprot"
"30050","CHEBI:30050","chebi","TMEDA_YEAST","P54837","uniprot"
"30050","CHEBI:30050","chebi","TMEDB_DICDI","Q54BN0","uniprot"
"30050","CHEBI:30050","chebi","TMEDE_DROPE","B4GMC3","uniprot"
"30050","CHEBI:30050","chebi","TMEDA_RABIT","Q28735","uniprot"
"30050","CHEBI:30050","chebi","S14L2_BOVIN","P58875","uniprot"
"30050","CHEBI:30050","chebi","GCP60_RAT","Q7TNY6","uniprot"
