"org_id","org_acc","org_source","ref_id","ref_acc","ref_source"
"15379","CHEBI:15379","chebi","A0A1M6RY39_9PROT","A0A1M6RY39","uniprot"
"15379","CHEBI:15379","chebi","A0A562LXZ2_9GAMM","A0A562LXZ2","uniprot"
"15379","CHEBI:15379","chebi","A0ABM8MIG2_9ENTR","A0ABM8MIG2","uniprot"
"15379","CHEBI:15379","chebi","A0A560LSY9_9BRAD","A0A560LSY9","uniprot"
"15379","CHEBI:15379","chebi","A0A370P2D7_9BURK","A0A370P2D7","uniprot"
"15379","CHEBI:15379","chebi","A0ABP6PFT0_9ACTN","A0ABP6PFT0","uniprot"
"15379","CHEBI:15379","chebi","A0ABR9XWJ8_9STAP","A0ABR9XWJ8","uniprot"
"15379","CHEBI:15379","chebi","F8A3N5_CELGA","F8A3N5","uniprot"
"15379","CHEBI:15379","chebi","A0A1H4B821_9FLAO","A0A1H4B821","uniprot"
"15379","CHEBI:15379","chebi","A0ABU8H3K8_9SPHN","A0ABU8H3K8","uniprot"
"15379","CHEBI:15379","chebi","A0A0H2MDJ0_VARPD","A0A0H2MDJ0","uniprot"
"15379","CHEBI:15379","chebi","A0A841GMJ7_9GAMM","A0A841GMJ7","uniprot"
"15379","CHEBI:15379","chebi","A0A934I819_9RHOB","A0A934I819","uniprot"
"15379","CHEBI:15379","chebi","A0A560M0N9_9BRAD","A0A560M0N9","uniprot"
"15379","CHEBI:15379","chebi","A0A7W7QFC0_9PSEU","A0A7W7QFC0","uniprot"
"15379","CHEBI:15379","chebi","A0ABU4XVS8_9HYPH","A0ABU4XVS8","uniprot"
"15379","CHEBI:15379","chebi","A0A6N6M6Q8_9FLAO","A0A6N6M6Q8","uniprot"
"15379","CHEBI:15379","chebi","A0A2W4CQK2_9HYPH","A0A2W4CQK2","uniprot"
"15379","CHEBI:15379","chebi","A0ABV3UZ47_9MICC","A0ABV3UZ47","uniprot"
"15379","CHEBI:15379","chebi","A0A5E4RAI6_9BURK","A0A5E4RAI6","uniprot"
"15379","CHEBI:15379","chebi","A0A1T5CFY6_9PORP","A0A1T5CFY6","uniprot"
"15379","CHEBI:15379","chebi","A0A3P2A4S4_9BACE","A0A3P2A4S4","uniprot"
"15379","CHEBI:15379","chebi","A0A852US52_9ACTN","A0A852US52","uniprot"
"15379","CHEBI:15379","chebi","A0A1S1M9H9_MYCCH","A0A1S1M9H9","uniprot"
"15379","CHEBI:15379","chebi","A0ABY7RBP2_9PSED","A0ABY7RBP2","uniprot"
"15379","CHEBI:15379","chebi","A0ABQ2DQ92_VIRSA","A0ABQ2DQ92","uniprot"
"15379","CHEBI:15379","chebi","A0A0X3TTT5_9RHOB","A0A0X3TTT5","uniprot"
"15379","CHEBI:15379","chebi","A0A5E4ZB73_9BURK","A0A5E4ZB73","uniprot"
"15379","CHEBI:15379","chebi","A0ABW9DKX7_9BURK","A0ABW9DKX7","uniprot"
"15379","CHEBI:15379","chebi","A0A4R6U7J6_9BURK","A0A4R6U7J6","uniprot"
"15379","CHEBI:15379","chebi","A0A852USW9_9ACTN","A0A852USW9","uniprot"
"15379","CHEBI:15379","chebi","A0A077HPM1_9CORY","A0A077HPM1","uniprot"
"15379","CHEBI:15379","chebi","A0ABW1HLL1_9ACTN","A0ABW1HLL1","uniprot"
"15379","CHEBI:15379","chebi","A0ABW9DW07_9BURK","A0ABW9DW07","uniprot"
"15379","CHEBI:15379","chebi","A0A8J3CPN9_9PROT","A0A8J3CPN9","uniprot"
"15379","CHEBI:15379","chebi","A0ABS7Q0E1_9ACTN","A0ABS7Q0E1","uniprot"
"15379","CHEBI:15379","chebi","A0ABN2JNL2_9ACTN","A0ABN2JNL2","uniprot"
"15379","CHEBI:15379","chebi","A0A024QCL3_VIRSA","A0A024QCL3","uniprot"
"15379","CHEBI:15379","chebi","A0A1B8YEW0_9GAMM","A0A1B8YEW0","uniprot"
"15379","CHEBI:15379","chebi","A0A4R6UPR3_9BURK","A0A4R6UPR3","uniprot"
"15379","CHEBI:15379","chebi","A0A543F9P3_9NOCA","A0A543F9P3","uniprot"
"15379","CHEBI:15379","chebi","D7DLV9_METV0","D7DLV9","uniprot"
"15379","CHEBI:15379","chebi","A0ABW7RVU8_STRTE","A0ABW7RVU8","uniprot"
"15379","CHEBI:15379","chebi","A0A8B0SPV6_9GAMM","A0A8B0SPV6","uniprot"
"15379","CHEBI:15379","chebi","A0A4Y8UHN0_9GAMM","A0A4Y8UHN0","uniprot"
"15379","CHEBI:15379","chebi","A0ABW7S3L0_STRTE","A0ABW7S3L0","uniprot"
"15379","CHEBI:15379","chebi","A0A1G6XE19_9RHOB","A0A1G6XE19","uniprot"
"15379","CHEBI:15379","chebi","A0A090Z5F7_PAEMA","A0A090Z5F7","uniprot"
"15379","CHEBI:15379","chebi","A0ABN2EDJ3_9ACTN","A0ABN2EDJ3","uniprot"
"15379","CHEBI:15379","chebi","A0ABC8APJ5_9NOCA","A0ABC8APJ5","uniprot"
"15379","CHEBI:15379","chebi","A0A4R7B7B2_9NEIS","A0A4R7B7B2","uniprot"
"15379","CHEBI:15379","chebi","A0ABT0U3M6_9BACT","A0ABT0U3M6","uniprot"
"15379","CHEBI:15379","chebi","A0ABV9K3B0_9BACI","A0ABV9K3B0","uniprot"
"15379","CHEBI:15379","chebi","A0A1C7FFT9_9VIBR","A0A1C7FFT9","uniprot"
"15379","CHEBI:15379","chebi","A0A8J6UR74_9BACT","A0A8J6UR74","uniprot"
"15379","CHEBI:15379","chebi","A0ABV5ANK4_9BACL","A0ABV5ANK4","uniprot"
"15379","CHEBI:15379","chebi","A0ABU9T8Z5_9HYPH","A0ABU9T8Z5","uniprot"
"15379","CHEBI:15379","chebi","A0ABU5TFY8_9CYAN","A0ABU5TFY8","uniprot"
"15379","CHEBI:15379","chebi","A0A1I3ZK38_9LACT","A0A1I3ZK38","uniprot"
"15379","CHEBI:15379","chebi","A0A1I5CXS9_9FLAO","A0A1I5CXS9","uniprot"
"15379","CHEBI:15379","chebi","A0A561E7V2_9MICO","A0A561E7V2","uniprot"
"15379","CHEBI:15379","chebi","A0A972JJX5_9GAMM","A0A972JJX5","uniprot"
"15379","CHEBI:15379","chebi","A0A839QX84_9MICO","A0A839QX84","uniprot"
"15379","CHEBI:15379","chebi","A0ABX9W1T6_9GAMM","A0ABX9W1T6","uniprot"
"15379","CHEBI:15379","chebi","A0ABQ1NF75_9ENTE","A0ABQ1NF75","uniprot"
"15379","CHEBI:15379","chebi","A0A397PF88_9HYPH","A0A397PF88","uniprot"
"15379","CHEBI:15379","chebi","A0A1C5AWL9_9ACTN","A0A1C5AWL9","uniprot"
"15379","CHEBI:15379","chebi","A0A1G1T7D3_9BACT","A0A1G1T7D3","uniprot"
"15379","CHEBI:15379","chebi","A0ABX0NDV7_9BURK","A0ABX0NDV7","uniprot"
"15379","CHEBI:15379","chebi","A0A6N7LL33_SINTE","A0A6N7LL33","uniprot"
"15379","CHEBI:15379","chebi","A0ABU9T7L7_9HYPH","A0ABU9T7L7","uniprot"
"15379","CHEBI:15379","chebi","A0ABW8A641_9ACTN","A0ABW8A641","uniprot"
"15379","CHEBI:15379","chebi","A0A418MRY3_9ACTN","A0A418MRY3","uniprot"
"15379","CHEBI:15379","chebi","A0A7I7JS75_9MYCO","A0A7I7JS75","uniprot"
"15379","CHEBI:15379","chebi","A0A3R8RIT6_9ACTN","A0A3R8RIT6","uniprot"
