"org_id","org_acc","org_source","ref_id","ref_acc","ref_source"
"15377","CHEBI:15377","chebi","A0A4P6TYM2_STRSO","A0A4P6TYM2","uniprot"
"15377","CHEBI:15377","chebi","A0AAI9NYS2_9FIRM","A0AAI9NYS2","uniprot"
"15377","CHEBI:15377","chebi","A0AAV5N5I2_9GAMM","A0AAV5N5I2","uniprot"
"15377","CHEBI:15377","chebi","A0A0G9MYE7_9SPHN","A0A0G9MYE7","uniprot"
"15377","CHEBI:15377","chebi","A0A5E4T460_9BURK","A0A5E4T460","uniprot"
"15377","CHEBI:15377","chebi","A0ABN5KVX6_9ACTN","A0ABN5KVX6","uniprot"
"15377","CHEBI:15377","chebi","I2N977_STRT9","I2N977","uniprot"
"15377","CHEBI:15377","chebi","A0A1B8ZVH8_9FLAO","A0A1B8ZVH8","uniprot"
"15377","CHEBI:15377","chebi","A0A6I4YL49_9DEIO","A0A6I4YL49","uniprot"
"15377","CHEBI:15377","chebi","A0A221P0R4_9ACTN","A0A221P0R4","uniprot"
"15377","CHEBI:15377","chebi","A0ABR6JNC4_9XANT","A0ABR6JNC4","uniprot"
"15377","CHEBI:15377","chebi","A0A2S1Z0E2_9ACTN","A0A2S1Z0E2","uniprot"
"15377","CHEBI:15377","chebi","A0A562Q5Z2_9FLAO","A0A562Q5Z2","uniprot"
"15377","CHEBI:15377","chebi","A0A7W7QDJ6_9PSEU","A0A7W7QDJ6","uniprot"
"15377","CHEBI:15377","chebi","A0ABV2IC70_9HYPH","A0ABV2IC70","uniprot"
"15377","CHEBI:15377","chebi","A0A1V9EN50_9BACT","A0A1V9EN50","uniprot"
"15377","CHEBI:15377","chebi","A0ABT1R424_9HYPH","A0ABT1R424","uniprot"
"15377","CHEBI:15377","chebi","A0ABT1R2Z6_9HYPH","A0ABT1R2Z6","uniprot"
"15377","CHEBI:15377","chebi","A0ABT1R508_9HYPH","A0ABT1R508","uniprot"
"15377","CHEBI:15377","chebi","A0A1M6RY39_9PROT","A0A1M6RY39","uniprot"
"15377","CHEBI:15377","chebi","A0ABT1EPX2_9PROT","A0ABT1EPX2","uniprot"
"15377","CHEBI:15377","chebi","A0A1H6X077_9MICO","A0A1H6X077","uniprot"
"15377","CHEBI:15377","chebi","A0ABU8H0U2_9SPHN","A0ABU8H0U2","uniprot"
"15377","CHEBI:15377","chebi","A0A133NBH6_9FUSO","A0A133NBH6","uniprot"
"15377","CHEBI:15377","chebi","Q2XPT6_STAAU","Q2XPT6","uniprot"
"15377","CHEBI:15377","chebi","A0A370G2D1_9BACI","A0A370G2D1","uniprot"
"15377","CHEBI:15377","chebi","A0ABM8MIG2_9ENTR","A0ABM8MIG2","uniprot"
"15377","CHEBI:15377","chebi","A0A7W7VBR0_9PSEU","A0A7W7VBR0","uniprot"
"15377","CHEBI:15377","chebi","A0A094IT49_9GAMM","A0A094IT49","uniprot"
