"org_id","org_acc","org_source","ref_id","ref_acc","ref_source"
"15377","CHEBI:15377","chebi","ALDA_STAEQ","Q5HLA3","uniprot"
"15377","CHEBI:15377","chebi","DADA_BURO1","Q1BY09","uniprot"
"15377","CHEBI:15377","chebi","DADA_BURP1","Q3JQ00","uniprot"
"15377","CHEBI:15377","chebi","TRPC_BRASB","A5EK25","uniprot"
"15377","CHEBI:15377","chebi","TRPC_PROMT","Q46JH4","uniprot"
"15377","CHEBI:15377","chebi","TRPC_PSEAB","Q02TB5","uniprot"
"15377","CHEBI:15377","chebi","PPBI_BOVIN","P19111","uniprot"
"15377","CHEBI:15377","chebi","PPME1_ARATH","Q84WM7","uniprot"
"15377","CHEBI:15377","chebi","PPME1_ASPFU","Q4WKB2","uniprot"
"15377","CHEBI:15377","chebi","PPME1_ASPOR","Q2URJ0","uniprot"
"15377","CHEBI:15377","chebi","ATPB1_LISMF","Q724W4","uniprot"
"15377","CHEBI:15377","chebi","GATA_MYCUA","A0PPX4","uniprot"
"15377","CHEBI:15377","chebi","APHA_HAEIN","P44009","uniprot"
"15377","CHEBI:15377","chebi","DDX1_DROVI","Q24731","uniprot"
"15377","CHEBI:15377","chebi","GGT5_HUMAN","P36269","uniprot"
"15377","CHEBI:15377","chebi","NAGA_BOVIN","A7MBC0","uniprot"
"15377","CHEBI:15377","chebi","NAGA_CAEEL","P34480","uniprot"
"15377","CHEBI:15377","chebi","NAGA_DANRE","Q6P0U0","uniprot"
"15377","CHEBI:15377","chebi","NAGA_DROME","Q9VR81","uniprot"
"15377","CHEBI:15377","chebi","NAGA_ECO57","P0AF19","uniprot"
"15377","CHEBI:15377","chebi","SAHH_GLOVI","Q7NGI6","uniprot"
"15377","CHEBI:15377","chebi","ILVD_XANCP","Q8PDJ3","uniprot"
"15377","CHEBI:15377","chebi","NDVA_BRUA2","Q2YQ73","uniprot"
"15377","CHEBI:15377","chebi","ISPH_YERP3","A7FMD4","uniprot"
"15377","CHEBI:15377","chebi","ISPG_CLOAB","Q97I56","uniprot"
"15377","CHEBI:15377","chebi","ISPG_CORGL","Q8NP12","uniprot"
"15377","CHEBI:15377","chebi","ISPG_CORJK","Q4JV28","uniprot"
"15377","CHEBI:15377","chebi","KYNU_XANC8","Q4UT93","uniprot"
"15377","CHEBI:15377","chebi","CHEB_NOSP7","B2J4Q8","uniprot"
